SampleID	Shrub	INorOUT	Site
Sample1	E1	Understory	Spain
Sample2	E2	Understory	Spain
Sample3	E3	Understory	Spain
Sample4	E4	Understory	Spain
Sample5	E5	Understory	Spain
Sample6	E6	Understory	Spain
Sample7	E7	Understory	Spain
Sample8	E8	Understory	Spain
Sample9	E9	Understory	Spain
Sample10	E10	Understory	Spain
Sample11	E1	Gap	Spain
Sample12	E2	Gap	Spain
Sample13	E3	Gap	Spain
Sample14	E4	Gap	Spain
Sample15	E5	Gap	Spain
Sample16	E6	Gap	Spain
Sample17	E7	Gap	Spain
Sample18	E8	Gap	Spain
Sample19	E9	Gap	Spain
Sample20	E10	Gap	Spain
Sample21	S1	Understory	Senegal
Sample22	S2	Understory	Senegal
Sample23	S3	Understory	Senegal
Sample24	S4	Understory	Senegal
Sample25	S5	Understory	Senegal
Sample26	S6	Understory	Senegal
Sample27	S7	Understory	Senegal
Sample28	S8	Understory	Senegal
Sample29	S9	Understory	Senegal
Sample30	S10	Understory	Senegal
Sample31	S1	Gap	Senegal
Sample32	S2	Gap	Senegal
Sample33	S3	Gap	Senegal
Sample34	S5	Gap	Senegal
Sample35	S6	Gap	Senegal
Sample36	S7	Gap	Senegal
Sample37	S8	Gap	Senegal
Sample38	S9	Gap	Senegal
Sample39	S10	Gap	Senegal
KitControl40	Control	Control	Control
Mock-Zymo41	Control	Control	Control
